OrderID,CustomerID,OrderDate,ShippedDate,ShippingCost,ShipCountry,ShipCity,ShippingCompany,DeliveryDays
1046.0,C017,2024-08-05,,295.3,Canada,Montreal,FedEx Logistics,
1047.0,C018,2024-09-04,2025-07-30,462.51,Usa,Chicago,Kiwilytics Goods Shipping LLC,329 days
1048.0,C019,2024-11-21,,214.97,Uk,London,Aramex International,
1049.0,C020,2024-10-24,2025-07-30,,Usa,New York,DHL Express,279 days
1050.0,C021,2025-01-03,2025-07-30,273.08,Palestine,Gaza,Aramex International,208 days
1051.0,C022,2025-04-24,2025-07-30,51.64,Egypt,Cairo,DHL Express,97 days
1052.0,C023,2024-11-01,2025-07-30,332.22,Egypt,Alexandria,UPS Worldwide,271 days
1053.0,C024,2024-11-25,2025-07-30,327.03,Palestine,Al Quds,Aramex International,247 days
1054.0,C025,2025-04-13,2025-07-30,,Germany,Munich,DHL Express,108 days
1055.0,C026,2025-03-12,2025-07-30,483.74,Usa,Houston,FedEx Logistics,140 days
1056.0,C027,2024-12-20,2025-07-30,400.15,Germany,Hamburg,Kiwilytics Goods Shipping LLC,222 days
1057.0,C028,2025-01-29,2025-07-30,58.32,Canada,Toronto,FedEx Logistics,182 days
1058.0,C029,2025-03-01,2025-07-30,375.96,Egypt,Cairo,UPS Worldwide,151 days
1059.0,C030,2025-02-21,2025-07-30,346.96,Usa,Chicago,UPS Worldwide,159 days
1060.0,C001,2024-12-10,2025-07-30,193.32,Palestine,Al Quds,DHL Express,232 days
1061.0,C002,2025-01-11,2025-07-30,342.98,Uk,London,FedEx Logistics,200 days
1062.0,C003,2025-05-15,2025-07-30,83.87,Usa,Chicago,Aramex International,76 days
1063.0,C004,2025-02-28,2025-07-30,246.56,Canada,Vancouver,DHL Express,152 days
1064.0,C005,2024-12-05,2025-07-30,461.07,Palestine,Al Quds,DHL Express,237 days
1065.0,C006,2024-12-13,2025-07-30,417.35,Usa,New York,FedEx Logistics,229 days
1066.0,Unknown,2025-04-28,2025-07-30,180.68,Uk,Liverpool,Kiwilytics Goods Shipping LLC,93 days
1067.0,C008,2025-01-22,,394.29,Germany,Munich,UPS Worldwide,
1068.0,C009,2024-11-12,2025-07-30,180.67,Usa,Houston,Aramex International,260 days
1069.0,C010,2024-11-26,2025-07-30,363.78,Canada,Montreal,UPS Worldwide,246 days
1070.0,C011,2024-11-04,2025-07-30,42.92,Palestine,Al Quds,DHL Express,268 days
1071.0,C012,2024-10-27,2025-07-30,,Usa,New York,Kiwilytics Goods Shipping LLC,276 days
1072.0,C013,2024-09-14,2025-07-30,327.51,Uk,London,DHL Express,319 days
1073.0,C014,2025-05-06,2025-07-30,90.53,Canada,Unspecified,Kiwilytics Goods Shipping LLC,85 days
1074.0,C015,2024-10-12,2025-07-30,129.52,Germany,Hamburg,FedEx Logistics,291 days
1075.0,C016,2024-11-29,2025-07-30,88.47,Germany,Munich,UPS Worldwide,243 days
1076.0,C017,2024-09-14,2025-07-30,479.65,Uk,Manchester,DHL Express,319 days
1077.0,C018,2025-05-14,2025-07-30,208.47,Canada,Toronto,Kiwilytics Goods Shipping LLC,77 days
1078.0,C019,2025-02-23,2025-07-30,323.83,Usa,Houston,Kiwilytics Goods Shipping LLC,157 days
1079.0,C020,2025-05-22,2025-07-30,24.3,Germany,Hamburg,DHL Express,69 days
1080.0,C021,2025-04-24,,106.69,Egypt,Cairo,UPS Worldwide,
1081.0,C022,2024-10-09,2025-07-30,200.53,Usa,Chicago,FedEx Logistics,294 days
,C023,2024-10-12,2025-07-30,110.83,Usa,Houston,FedEx Logistics,291 days
1083.0,C024,2024-10-22,2025-07-30,406.28,Usa,Chicago,Aramex International,281 days
1084.0,C025,2025-05-12,2025-07-30,,Germany,Munich,Aramex International,79 days
1085.0,C026,2025-02-03,,169.73,Canada,Toronto,Aramex International,
1086.0,C027,2024-11-14,2025-07-30,138.55,Palestine,Gaza,UPS Worldwide,258 days
1087.0,C028,2025-05-07,2025-07-30,268.58,Canada,Montreal,Aramex International,84 days
1088.0,C029,2025-03-15,2025-07-30,302.52,Uk,London,Aramex International,137 days
1089.0,C030,2025-05-21,2025-07-30,297.63,Egypt,Cairo,UPS Worldwide,70 days
1090.0,C001,2025-02-18,2025-07-30,424.3,Uk,Manchester,Aramex International,162 days
1091.0,C002,2025-03-18,,408.73,Palestine,Gaza,FedEx Logistics,
1092.0,C003,2024-11-16,,155.75,Uk,London,DHL Express,
1093.0,C004,2024-09-07,2025-07-30,51.53,Germany,Munich,FedEx Logistics,326 days
1094.0,C005,2025-06-18,2025-07-30,67.75,Canada,Vancouver,FedEx Logistics,42 days
1095.0,C006,2024-10-13,2025-07-30,99.69,Egypt,Alexandria,Kiwilytics Goods Shipping LLC,290 days
1096.0,C007,2024-11-22,2025-07-30,260.3,Canada,Vancouver,DHL Express,250 days
1097.0,C008,2024-10-26,2025-07-30,77.55,Usa,Chicago,FedEx Logistics,277 days
1098.0,C009,2024-12-17,2025-07-30,101.02,Palestine,Gaza,DHL Express,225 days
1099.0,C010,2024-10-07,2025-07-30,349.78,Uk,London,FedEx Logistics,296 days
1100.0,C011,2024-10-07,2025-07-30,499.95,Uk,Liverpool,UPS Worldwide,296 days
1101.0,C012,2024-10-07,2025-07-30,249.92,Usa,Los Angeles,UPS Worldwide,296 days
1102.0,C013,2024-08-04,2025-07-30,164.14,Usa,New York,Aramex International,360 days
1103.0,C014,2025-04-30,2025-07-30,36.27,Uk,Liverpool,UPS Worldwide,91 days
1104.0,C015,2025-02-22,,14.7,Palestine,Gaza,DHL Express,
1105.0,C016,2024-09-17,2025-07-30,409.46,Canada,Montreal,Kiwilytics Goods Shipping LLC,316 days
1106.0,C017,2024-11-13,2025-07-30,257.66,Usa,Houston,Aramex International,259 days
1107.0,C018,2024-08-16,2025-07-30,345.5,Germany,Munich,FedEx Logistics,348 days
1108.0,C019,2024-08-20,2025-07-30,421.55,Germany,Hamburg,UPS Worldwide,344 days
1109.0,C020,2025-03-01,2025-07-30,,Egypt,Giza,Aramex International,151 days
1110.0,C021,2024-11-20,2025-07-30,,Palestine,Gaza,UPS Worldwide,252 days
1111.0,C022,2025-04-26,2025-07-30,,Uk,London,Aramex International,95 days
1112.0,C023,2024-09-17,2025-07-30,234.09,Egypt,Giza,DHL Express,316 days
1113.0,C024,2025-04-03,2025-07-30,385.3,Usa,Los Angeles,DHL Express,118 days
1114.0,C025,2025-07-02,2025-07-30,65.47,Palestine,Gaza,FedEx Logistics,28 days
1115.0,C026,2025-05-18,2025-07-30,389.81,Canada,Toronto,Aramex International,73 days
1116.0,C027,2025-02-05,2025-07-30,189.76,Canada,Toronto,Kiwilytics Goods Shipping LLC,175 days
,C028,2024-09-07,2025-07-30,30.39,Palestine,Gaza,DHL Express,326 days
1118.0,C029,2025-07-03,2025-07-30,277.71,Egypt,Cairo,FedEx Logistics,27 days
1119.0,C030,2024-08-03,2025-07-30,60.18,Egypt,Cairo,Aramex International,361 days
1120.0,C001,2025-03-09,2025-07-30,378.16,Palestine,Gaza,FedEx Logistics,143 days
1122.0,C003,2024-11-17,2025-07-30,180.8,Usa,New York,FedEx Logistics,255 days
1123.0,C004,2025-01-28,2025-07-30,225.14,Egypt,Giza,Aramex International,183 days
1124.0,C005,2025-01-28,2025-07-30,390.06,Egypt,Giza,UPS Worldwide,183 days
1125.0,C006,2025-01-17,2025-07-30,407.24,Uk,Manchester,Kiwilytics Goods Shipping LLC,194 days
1126.0,C007,2024-12-09,,181.81,Palestine,Gaza,DHL Express,
1127.0,C008,2024-10-09,2025-07-30,320.06,Usa,Houston,Aramex International,294 days
1128.0,C009,2024-08-18,,78.23,Usa,Houston,Aramex International,
1129.0,C010,2024-11-05,2025-07-30,111.4,Canada,Toronto,FedEx Logistics,267 days
1130.0,C011,2025-07-30,2025-07-30,,Germany,Hamburg,DHL Express,0 days
1131.0,C012,2025-06-29,2025-07-30,92.5,Germany,Berlin,UPS Worldwide,31 days
1132.0,C013,2025-01-31,2025-07-30,153.39,Usa,New York,UPS Worldwide,180 days
1133.0,C014,2024-09-12,2025-07-30,476.67,Uk,Liverpool,Kiwilytics Goods Shipping LLC,321 days
1134.0,C015,2025-06-14,2025-07-30,451.08,Uk,Manchester,Kiwilytics Goods Shipping LLC,46 days
1135.0,C016,2024-08-24,2025-07-30,76.44,Palestine,Gaza,FedEx Logistics,340 days
1136.0,C017,2025-01-01,2025-07-30,211.68,Egypt,Giza,DHL Express,210 days
1137.0,C018,2025-02-05,2025-07-30,,Germany,Munich,UPS Worldwide,175 days
1138.0,C019,2024-08-27,2025-07-30,434.38,Usa,Los Angeles,DHL Express,337 days
1139.0,C020,2025-03-11,2025-07-30,358.58,Uk,Manchester,FedEx Logistics,141 days
1140.0,C021,2025-03-31,2025-07-30,383.12,Canada,Montreal,DHL Express,121 days
1141.0,C022,2025-04-22,2025-07-30,249.83,Germany,Hamburg,DHL Express,99 days
1142.0,Unknown,2024-08-19,2025-07-30,141.67,Egypt,Cairo,DHL Express,345 days
1143.0,C024,2024-09-26,2025-07-30,231.48,Egypt,Alexandria,FedEx Logistics,307 days
1144.0,C025,2024-09-25,2025-07-30,441.26,Canada,Toronto,FedEx Logistics,308 days
1145.0,C026,2025-06-10,2025-07-30,262.65,Egypt,Alexandria,FedEx Logistics,50 days
1146.0,Unknown,2025-03-05,2025-07-30,468.8,Uk,London,UPS Worldwide,147 days
1147.0,C028,2024-11-24,2025-07-30,475.62,Uk,Manchester,Aramex International,248 days
1148.0,C029,2024-11-24,2025-07-30,11.21,Uk,Manchester,DHL Express,248 days
1149.0,C030,2024-09-01,2025-07-30,369.03,Egypt,Giza,Kiwilytics Goods Shipping LLC,332 days
1150.0,C001,2024-11-03,2025-07-30,234.64,Usa,Los Angeles,Kiwilytics Goods Shipping LLC,269 days
1151.0,C002,2024-09-14,2025-07-30,185.53,Canada,Vancouver,Aramex International,319 days
1152.0,C003,2025-03-03,,,Egypt,Alexandria,DHL Express,
1153.0,C004,2025-03-03,2025-07-30,414.18,Uk,Liverpool,DHL Express,149 days
1154.0,C005,2025-01-07,2025-07-30,168.2,Egypt,Giza,DHL Express,204 days
1155.0,C006,2025-03-22,2025-07-30,278.18,Usa,Los Angeles,FedEx Logistics,130 days
1156.0,C007,2025-03-18,2025-07-30,427.69,Egypt,Unspecified,UPS Worldwide,134 days
1157.0,C008,2025-06-02,2025-07-30,448.14,Egypt,Giza,FedEx Logistics,58 days
1158.0,C009,2025-03-27,,32.51,Egypt,Giza,DHL Express,
1159.0,C010,2024-10-25,2025-07-30,419.98,Uk,Unspecified,Aramex International,278 days
1160.0,C011,2025-05-27,2025-07-30,,Germany,Berlin,DHL Express,64 days
1161.0,C012,2025-02-17,,10.33,Usa,Chicago,DHL Express,
1162.0,C013,2024-12-24,2025-07-30,109.14,Germany,Munich,UPS Worldwide,218 days
1163.0,C014,2024-12-24,2025-07-30,74.64,Canada,Montreal,DHL Express,218 days
1164.0,C015,2025-01-20,2025-07-30,87.9,Germany,Berlin,FedEx Logistics,191 days
1165.0,C016,2025-07-17,,144.27,Canada,Toronto,Kiwilytics Goods Shipping LLC,
1166.0,C017,2025-01-17,,132.69,Canada,Toronto,UPS Worldwide,
1167.0,C018,2024-11-22,2025-07-30,452.86,Canada,Toronto,UPS Worldwide,250 days
1168.0,C019,2025-06-29,2025-07-30,204.21,Egypt,Cairo,UPS Worldwide,31 days
1169.0,C020,2025-03-15,2025-07-30,352.73,Uk,Liverpool,DHL Express,137 days
1170.0,C021,2025-01-12,2025-07-30,331.19,Canada,Vancouver,UPS Worldwide,199 days
1171.0,C022,2024-11-25,2025-07-30,10.53,Uk,Manchester,UPS Worldwide,247 days
,C023,2025-03-07,2025-07-30,75.02,Germany,Munich,FedEx Logistics,145 days
1173.0,C024,2025-03-28,2025-07-30,343.19,Usa,New York,Aramex International,124 days
1174.0,C025,2024-08-22,2025-07-30,,Canada,Vancouver,FedEx Logistics,342 days
1175.0,C026,2025-03-23,2025-07-30,216.93,Egypt,Giza,FedEx Logistics,129 days
1176.0,C027,2025-05-13,2025-07-30,44.71,Egypt,Cairo,Aramex International,78 days
1177.0,C028,2025-05-13,2025-07-30,368.07,Egypt,Giza,Aramex International,78 days
1178.0,C029,2025-05-22,2025-07-30,163.54,Germany,Munich,UPS Worldwide,69 days
1179.0,C030,2024-10-18,2025-07-30,77.19,Uk,London,FedEx Logistics,285 days
1180.0,C001,2025-03-29,2025-07-30,379.05,Uk,Liverpool,DHL Express,123 days
1181.0,C002,2024-10-19,,496.54,Usa,Chicago,Kiwilytics Goods Shipping LLC,
1182.0,C003,2024-11-09,2025-07-30,269.95,Usa,Houston,Kiwilytics Goods Shipping LLC,263 days
1183.0,C004,2025-04-12,,,Usa,Los Angeles,Kiwilytics Goods Shipping LLC,
1184.0,C005,2025-04-12,2025-07-30,114.4,Germany,Berlin,FedEx Logistics,109 days
1185.0,C006,2024-08-30,2025-07-30,460.75,Canada,Montreal,Aramex International,334 days
1186.0,C007,2024-09-28,2025-07-30,226.77,Canada,Montreal,UPS Worldwide,305 days
1187.0,C008,2024-10-31,,449.33,Canada,Vancouver,UPS Worldwide,
1188.0,C009,2024-10-05,,70.35,Egypt,Giza,Kiwilytics Goods Shipping LLC,
1189.0,C010,2025-03-01,2025-07-30,182.25,Usa,New York,UPS Worldwide,151 days
1190.0,Unknown,2024-08-28,2025-07-30,397.63,Egypt,Cairo,DHL Express,336 days
1191.0,C012,2024-09-28,2025-07-30,325.86,Canada,Montreal,DHL Express,305 days
1192.0,C013,2024-07-31,2025-07-30,304.49,Usa,Los Angeles,Aramex International,364 days
1194.0,C015,2025-01-20,2025-07-30,23.14,Uk,Liverpool,FedEx Logistics,191 days
1195.0,C016,2025-04-23,2025-07-30,439.16,Uk,Manchester,UPS Worldwide,98 days
1196.0,C017,2025-03-17,2025-07-30,307.39,Egypt,Alexandria,FedEx Logistics,135 days
1197.0,C018,2025-01-28,2025-07-30,201.96,Egypt,Alexandria,Kiwilytics Goods Shipping LLC,183 days
,C019,2024-11-20,2025-07-30,394.06,Canada,Vancouver,FedEx Logistics,252 days
1199.0,C020,2024-11-20,2025-07-30,127.28,Uk,Liverpool,Kiwilytics Goods Shipping LLC,252 days
1200.0,C021,2024-10-27,2025-07-30,128.13,Germany,Hamburg,DHL Express,276 days
1201.0,C022,2024-11-18,2025-07-30,44.8,Egypt,Giza,UPS Worldwide,254 days
1202.0,C023,2025-04-30,2025-07-30,15.91,Usa,New York,Aramex International,91 days
1203.0,C024,2024-11-16,2025-07-30,165.07,Germany,Hamburg,UPS Worldwide,256 days
1204.0,C025,2025-04-29,2025-07-30,421.1,Uk,Liverpool,Kiwilytics Goods Shipping LLC,92 days
1205.0,C026,2025-06-28,2025-07-30,277.71,Germany,Hamburg,UPS Worldwide,32 days
1206.0,C027,2025-01-22,2025-07-30,,Uk,Manchester,Aramex International,189 days
1207.0,C028,2024-08-26,2025-07-30,45.77,Usa,Houston,Kiwilytics Goods Shipping LLC,338 days
1208.0,C029,2025-04-22,2025-07-30,16.76,Usa,Chicago,Kiwilytics Goods Shipping LLC,99 days
1209.0,C030,2024-10-28,2025-07-30,462.06,Uk,Liverpool,Aramex International,275 days
1210.0,C001,2025-07-23,2025-07-30,205.01,Uk,Manchester,UPS Worldwide,7 days
,C002,2024-11-09,2025-07-30,359.19,Uk,Liverpool,Aramex International,263 days
1213.0,C004,2025-06-02,2025-07-30,323.86,Canada,Montreal,DHL Express,58 days
1214.0,C005,2025-03-29,2025-07-30,84.81,Canada,Toronto,Aramex International,123 days
1215.0,C006,2025-03-16,2025-07-30,48.72,Germany,Munich,Kiwilytics Goods Shipping LLC,136 days
1216.0,C007,2025-04-12,2025-07-30,487.41,Uk,Liverpool,FedEx Logistics,109 days
1217.0,C008,2025-06-07,,170.11,Canada,Montreal,DHL Express,
1218.0,C009,2025-07-27,2025-07-30,383.98,Usa,Houston,Aramex International,3 days
1219.0,C010,2024-10-14,2025-07-30,325.15,Uk,Manchester,DHL Express,289 days
1220.0,C011,2025-01-11,,224.37,Egypt,Alexandria,UPS Worldwide,
1221.0,C012,2024-09-12,2025-07-30,126.93,Egypt,Giza,Kiwilytics Goods Shipping LLC,321 days
1222.0,C013,2025-02-26,2025-07-30,463.07,Usa,Los Angeles,Aramex International,154 days
1223.0,C014,2024-10-25,2025-07-30,310.03,Uk,Liverpool,Kiwilytics Goods Shipping LLC,278 days
1224.0,C015,2025-04-07,2025-07-30,,Canada,Montreal,FedEx Logistics,114 days
1225.0,C016,2024-09-25,2025-07-30,68.53,Germany,Hamburg,FedEx Logistics,308 days
1226.0,C017,2025-07-17,2025-07-30,353.73,Egypt,Giza,DHL Express,13 days
1227.0,C018,2024-11-10,,476.98,Uk,Liverpool,FedEx Logistics,
1228.0,C019,2025-06-16,,393.66,Uk,London,FedEx Logistics,
1229.0,C020,2024-09-23,2025-07-30,91.81,Germany,Berlin,Aramex International,310 days
1230.0,C021,2024-08-26,,392.75,Uk,London,Kiwilytics Goods Shipping LLC,
1231.0,C022,2024-08-22,2025-07-30,444.34,Egypt,Cairo,DHL Express,342 days
1232.0,C023,2024-10-02,2025-07-30,24.38,Uk,Liverpool,FedEx Logistics,301 days
1233.0,C024,2025-06-02,2025-07-30,143.27,Germany,Berlin,Kiwilytics Goods Shipping LLC,58 days
1234.0,C025,2024-11-26,2025-07-30,,Uk,Liverpool,UPS Worldwide,246 days
1235.0,C026,2025-03-18,2025-07-30,253.11,Usa,Los Angeles,Aramex International,134 days
1236.0,C027,2025-05-16,2025-07-30,37.17,Uk,London,FedEx Logistics,75 days
1237.0,C028,2025-06-15,2025-07-30,91.77,Uk,Manchester,FedEx Logistics,45 days
1238.0,C029,2025-03-08,2025-07-30,388.93,Uk,Manchester,FedEx Logistics,144 days
1239.0,C030,2025-07-22,2025-07-30,340.32,Uk,Liverpool,Kiwilytics Goods Shipping LLC,8 days
1240.0,C001,2024-11-19,2025-07-30,372.98,Uk,Manchester,Aramex International,253 days
1241.0,C002,2024-11-19,2025-07-30,,Usa,Houston,Aramex International,253 days
1242.0,C003,2025-01-16,2025-07-30,241.16,Usa,New York,Kiwilytics Goods Shipping LLC,195 days
1243.0,C004,2024-09-16,2025-07-30,83.54,Egypt,Cairo,DHL Express,317 days
1244.0,C005,2025-01-28,2025-07-30,430.17,Germany,Berlin,Aramex International,183 days
